timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,server
2026-05-06 20:05:16,17.18,20.21,39.18,8.48,Los Angeles; United States (1) (Clouvider)
2026-05-06 20:24:14,6.6,12.99,45.64,9.96,Los Angeles; USA (Sharktech)
2026-05-06 20:26:22,9.43,12.28,83.82,34.01,Los Angeles; United States (1) (Clouvider)
2026-05-06 20:28:32,6.88,14.33,59.73,45.04,Los Angeles; USA (Sharktech)
2026-05-06 21:12:43,11.83,18.52,44.82,5.19,Denver; USA (Sharktech)
2026-05-06 21:14:13,10.54,7.88,44.18,6.33,Denver; USA (Sharktech)
2026-05-07 05:23:09,17.01,21.89,42.64,8.69,Los Angeles; USA (Sharktech)
2026-05-07 07:40:00,17.37,21.74,42.91,15.01,Los Angeles; United States (1) (Clouvider)
2026-05-07 07:41:13,16.24,21.71,38.0,3.23,Los Angeles; United States (1) (Clouvider)
2026-05-07 07:52:09,14.93,21.49,35.82,2.9,Los Angeles; USA (Sharktech)
2026-05-07 09:40:58,7.8,15.98,57.64,84.04,Los Angeles; United States (1) (Clouvider)
2026-05-07 11:41:49,23.15,18.82,35.73,2.01,Los Angeles; United States (1) (Clouvider)
2026-05-07 13:42:39,15.57,19.14,36.91,1.86,Los Angeles; United States (1) (Clouvider)
2026-05-07 15:43:31,16.76,21.43,40.82,6.15,Denver; USA (Sharktech)
2026-05-07 17:44:21,16.96,21.99,36.36,1.24,Los Angeles; United States (1) (Clouvider)
2026-05-07 19:45:12,16.36,22.28,48.73,11.6,Los Angeles; USA (Sharktech)
2026-05-07 21:46:04,17.02,21.07,35.45,1.57,Los Angeles; United States (1) (Clouvider)
2026-05-07 23:46:54,19.82,21.45,35.09,1.44,Los Angeles; United States (1) (Clouvider)
2026-05-08 01:47:45,16.92,20.52,34.36,0.37,Los Angeles; United States (1) (Clouvider)
2026-05-08 03:48:38,14.42,20.75,44.73,2.0,Las Vegas; USA (Sharktech)
2026-05-08 05:49:30,19.79,21.94,35.55,1.14,Los Angeles; USA (Sharktech)
2026-05-08 07:50:22,18.6,21.19,37.36,5.46,Los Angeles; United States (1) (Clouvider)
2026-05-08 09:51:14,17.93,14.97,36.27,1.71,Los Angeles; United States (1) (Clouvider)
2026-05-08 11:52:04,17.38,19.15,37.18,2.73,Los Angeles; United States (1) (Clouvider)
2026-05-08 13:52:56,16.23,13.34,36.55,7.0,Los Angeles; USA (Sharktech)
2026-05-08 15:53:48,24.99,15.49,34.45,0.64,Los Angeles; United States (1) (Clouvider)
2026-05-08 17:54:39,18.19,19.42,35.09,0.64,Los Angeles; USA (Sharktech)
2026-05-08 19:55:32,18.42,21.41,44.91,11.18,Los Angeles; United States (1) (Clouvider)
2026-05-08 21:56:24,16.71,21.19,34.64,1.59,Los Angeles; United States (1) (Clouvider)
2026-05-08 23:57:17,17.71,21.84,39.0,4.31,Los Angeles; USA (Sharktech)
2026-05-09 01:58:08,17.15,19.79,35.82,1.71,Los Angeles; USA (Sharktech)
2026-05-09 03:59:01,17.27,19.66,59.0,36.9,Los Angeles; United States (1) (Clouvider)
2026-05-09 05:59:53,21.29,20.62,41.55,5.87,Los Angeles; United States (1) (Clouvider)
2026-05-09 08:00:54,21.68,21.42,42.73,8.42,Los Angeles; United States (1) (Clouvider)
2026-05-09 10:01:45,17.63,19.22,52.91,1.89,Los Angeles; United States (1) (Clouvider)
2026-05-09 12:02:36,17.98,21.19,35.27,1.27,Los Angeles; United States (1) (Clouvider)
2026-05-09 14:03:27,13.56,20.67,37.18,0.82,Los Angeles; USA (Sharktech)
2026-05-09 16:04:19,17.67,20.3,38.45,9.89,Los Angeles; United States (1) (Clouvider)
2026-05-09 18:05:11,17.88,16.65,36.36,8.83,Los Angeles; United States (1) (Clouvider)
2026-05-09 20:06:04,17.36,21.24,35.55,5.47,Los Angeles; United States (1) (Clouvider)
2026-05-09 22:06:56,18.96,21.88,36.91,4.4,Los Angeles; United States (1) (Clouvider)
2026-05-10 00:07:48,19.19,21.49,37.09,8.12,Los Angeles; United States (1) (Clouvider)
2026-05-10 02:08:39,17.75,21.98,38.91,6.32,Los Angeles; United States (1) (Clouvider)
2026-05-10 04:09:32,18.15,20.95,38.64,9.01,Los Angeles; United States (1) (Clouvider)
2026-05-10 06:10:22,17.18,21.68,38.18,5.14,Los Angeles; USA (Sharktech)
2026-05-10 08:11:15,19.33,18.75,36.73,2.32,Los Angeles; United States (1) (Clouvider)
2026-05-10 10:12:07,18.87,22.26,35.36,1.03,Los Angeles; United States (1) (Clouvider)
2026-05-10 12:12:59,23.23,20.9,36.91,3.12,Los Angeles; USA (Sharktech)
2026-05-10 14:13:50,16.75,20.97,33.82,0.11,Los Angeles; USA (Sharktech)
2026-05-10 16:14:41,14.78,20.81,55.27,20.6,Los Angeles; USA (Sharktech)
2026-05-10 18:15:32,15.52,19.68,41.91,17.5,Los Angeles; USA (Sharktech)
2026-05-10 20:16:23,16.82,21.89,40.27,7.38,Los Angeles; USA (Sharktech)
2026-05-10 22:17:15,17.9,21.02,35.36,1.82,Los Angeles; United States (1) (Clouvider)
2026-05-11 00:18:05,17.97,21.84,38.18,5.73,Los Angeles; USA (Sharktech)
2026-05-11 02:18:58,18.39,21.12,37.82,4.07,Los Angeles; United States (1) (Clouvider)
2026-05-11 04:19:50,17.87,20.92,36.18,2.55,Los Angeles; USA (Sharktech)
